trait	race	effect	se	pvalue	n	model_r2	corr_prs
HDL	EA	4.8605672228459	0.146540129467414	1.94801353460443e-234	18637	0.234447032223433	0.217796258595915
HDL	AA	3.62470477990553	0.498514695714961	4.95794286443192e-13	2192	0.0904317209210842	0.153479030981378
LDL	EA	14.9673079638375	0.634721828117917	3.9409879269608e-121	18237	0.0723873933726798	0.166619586035168
LDL	AA	16.6522784423678	2.06044084330778	1.05490464640407e-15	2163	0.0487645479851815	0.172035173242785
TG	EA	31.0471674155337	1.02947781873904	3.19950575166198e-195	19071	0.0635842364945968	0.211333574454616
TG	AA	13.1472438106017	2.79270095641283	2.65889475321992e-06	2252	0.0601765505432049	0.10679988529499
