trait	race	cor_Yr_Pr	N	prs_mean	prs_sd
HDL	EA	0.236269251852596	18637	2.33207274588185	0.745025013554571
HDL	AA	0.154253700006844	2192	2.60023123312044	0.667789376233543
HDL	All	0.228185866550677	20829	2.36029317912526	0.741841136084841
LDL	EA	0.172145974303331	18237	-0.0842203906333827	0.352995564124767
LDL	AA	0.172098858398188	2163	-0.196957117947295	0.318922743997733
LDL	All	0.17160385848211	20400	-0.0961737995147549	0.351252150197423
TG	EA	0.213509423410634	19071	-1.78643403515023	0.571403236312503
TG	AA	0.0992217428657304	2252	-2.01546764653641	0.490091451420412
TG	All	0.205323905849751	21323	-1.81062311233644	0.567740671301159
